Concurrency,Service Workload (message_size) Bytes,Heap Size (MB),Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
500,1024,1024,UseSerialGC,29.62576263,451,47,60,105,203,-2.778463297
500,1024,4096,UseConcMarkSweepGC,32.33460133,166,47,51,65,91,-6.446656394
500,1024,4096,UseG1GC,32.8980319,162,39,43,62,85,-4.210459641
500,1024,4096,UseParallelGC,29.65447565,405,35,38,63,99,-3.253940261
500,1024,4096,UseSerialGC,29.65942766,135,35,39,62,87,-3.409175166
500,10240,200,UseConcMarkSweepGC,33.57055357,629,78,110,177,268,-2.009461075
500,10240,200,UseG1GC,33.3015123,469,80,113,180,276,-1.911702372
500,10240,200,UseParallelGC,33.82695083,695,79,112,180,273,-1.952244994
500,10240,200,UseSerialGC,33.62372762,478,77,108,174,264,-2.020232355
500,10240,500,UseConcMarkSweepGC,31.67798968,536,73,103,165,255,-2.037616765
500,10240,500,UseG1GC,36.15645716,590,97,137,208,320,-1.660363221
500,10240,500,UseParallelGC,32.36737537,589,79,110,173,250,-1.913647201
500,10240,500,UseSerialGC,34.96308196,788,93,132,206,302,-1.443536018
500,10240,1024,UseConcMarkSweepGC,35.26420926,643,80,115,182,280.002,-2.056071473
500,10240,1024,UseG1GC,33.65491265,494,90,126,195,268,-1.666322884
500,10240,1024,UseParallelGC,34.76401876,546,97,136,201,283,-1.490546
500,10240,1024,UseSerialGC,33.24472924,588,76,106,171,267,-2.047576859
500,10240,4096,UseConcMarkSweepGC,35.18563219,512,87,122,190,273,-1.690387912
500,10240,4096,UseG1GC,31.32729433,664,77,110,175,274,-1.879062849
500,10240,4096,UseParallelGC,29.71232871,446,74,104,166,243,-1.809482435
500,10240,4096,UseSerialGC,30.06322706,469,76,106,161,235,-1.983568012
