Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
200,7919,4g,UseParallelGC,0.0026648,0.0028436,0.0032911,0.003382,0.00356534,0.01129343,0.016469915,0.028965883,0.0449183925,0.0652739185
200,7919,4g,UseSerialGC,0.0046809,0.0048312,0.005023,0.00512705,0.005329,0.00578538,0.02215872,0.033350378,0.0616473875,0.1303970373
500,541,100m,UseConcMarkSweepGC,0.00186414,0.0021202,0.0025249,0.0026873,0.003168316,0.003562586,0.004311081,0.0129904704,0.0208549647,0.02595961896
500,541,100m,UseG1GC,0.0007074,0.0036048,0.11395948,0.18843994,0.242349656,0.284409016,0.316546838,0.41720138,0.4724226478,0.5758326236
500,541,100m,UseParallelGC,0.0021879,0.0023826,0.0027557,0.002943125,0.0033077,0.00351807,0.0043875525,0.049225495,0.0501094495,0.0618250027
500,541,100m,UseSerialGC,0.0031622,0.003467,0.0038677,0.0039802,0.00417826,0.00452413,0.00527369,0.011058011,0.0707254595,0.0781180068
500,541,200m,UseConcMarkSweepGC,0.0022696,0.0024753,0.00294557,0.003087835,0.003439258,0.003863793,0.004420094,0.0100349082,0.0148991586,0.03118931745
500,541,200m,UseG1GC,0.0036146,0.0037836,0.0042654,0.004466,0.00486216,0.00529297,0.006288485,0.01393713,0.0190529815,0.1164326279
500,541,200m,UseParallelGC,0.0024954,0.0027565,0.00321556,0.003450145,0.003699896,0.003903598,0.0044731485,0.010560012,0.04037872645,0.05243823149
500,541,200m,UseSerialGC,0.0039294,0.0041829,0.00461641,0.0049575,0.005268242,0.005564727,0.0061092915,0.0119772086,0.01604424335,0.1017413828
500,541,500m,UseConcMarkSweepGC,0.0028105,0.0030258,0.00375135,0.00401295,0.00445844,0.00501249,0.0058026425,0.01235628,0.018727298,0.0484599302
500,541,500m,UseG1GC,0.0041339,0.00427655,0.0048074,0.0050403,0.00560738,0.006114605,0.0072172855,0.0168114275,0.02891721775,0.03487910473
500,541,500m,UseParallelGC,0.0031909,0.0034264,0.00394284,0.00407407,0.004229544,0.004390118,0.0052379295,0.0102542199,0.0122967092,0.03459258806
500,541,500m,UseSerialGC,0.0050753,0.0052608,0.0055117,0.0056339,0.00609212,0.00663025,0.0070559,0.014430485,0.0161720585,0.0247323812
500,541,1g,UseConcMarkSweepGC,0.00473026,0.0049753,0.00582966,0.00619155,0.006716556,0.007267016,0.008279847,0.0163803946,0.0262805487,0.05303568508
500,541,1g,UseG1GC,0.00454829,0.0047113,0.00528263,0.0055144,0.006280878,0.006770545,0.009099318,0.0304208243,0.04174725055,0.0490536857
500,541,1g,UseParallelGC,0.00311199,0.0032832,0.00367666,0.003811265,0.004072658,0.004281786,0.0049920795,0.0137997246,0.02056137145,0.05111766528
500,541,1g,UseSerialGC,0.00510132,0.0052851,0.00551348,0.00561624,0.005979136,0.0065713,0.007069046,0.0132978392,0.0272345132,0.04285405096
500,541,4g,UseConcMarkSweepGC,0.01488752,0.0156216,0.01637562,0.016821735,0.01773536,0.018668126,0.0214250005,0.0364703055,0.0429469074,0.06611811982
500,541,4g,UseG1GC,0.00573834,0.005997,0.00660764,0.00697781,0.007987328,0.011677555,0.024279673,0.0450685913,0.05220184565,0.05790844913
500,541,4g,UseParallelGC,0.00310224,0.00325635,0.00358499,0.00371554,0.004103684,0.010888034,0.0181760275,0.0301849627,0.04995091695,0.07603810339
500,541,4g,UseSerialGC,0.0051877,0.0053935,0.0056437,0.0057905,0.00639724,0.00729632,0.02462445,0.047717884,0.058135904,0.1495333814
500,7919,100m,UseConcMarkSweepGC,0.0021801,0.0028425,0.0042093,0.0047399,0.005630592,0.006227612,0.007001692,0.0212142104,0.0252533,0.03556907936
500,7919,100m,UseG1GC,0.00135464,0.00534855,0.00954027,0.295400015,0.432230752,0.506796987,0.571833919,0.6835288455,0.7383874139,0.8482583971
500,7919,100m,UseParallelGC,0.0024747,0.0028475,0.0034495,0.003651995,0.00400709,0.004948399,0.0117961515,0.0565574785,0.05890340945,0.06452526268
500,7919,100m,UseSerialGC,0.0038501,0.0049923,0.0069629,0.007196115,0.007481726,0.007737089,0.008100267,0.018092897,0.0826097821,0.08817335254
500,7919,200m,UseConcMarkSweepGC,0.0023573,0.0025426,0.00296114,0.00321842,0.003770308,0.004122668,0.004653916,0.0099351504,0.0146111416,0.0320313168
500,7919,200m,UseG1GC,0.003724,0.0038942,0.00442598,0.00466039,0.005209856,0.0058342,0.0069512155,0.0146198827,0.01968179065,0.03580138678
500,7919,200m,UseParallelGC,0.00254796,0.0028307,0.00329454,0.00349137,0.003739108,0.003937224,0.00459371,0.0108146896,0.0407333686,0.05189041568
