Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
200,50,100m,UseConcMarkSweepGC,0.0016163,0.0018159,0.0021567,0.0022578,0.002604468,0.0029455,0.003427822,0.0082325948,0.0125619274,0.02185010216
200,50,100m,UseG1GC,0.00069396,0.0033004,0.11292596,0.17270422,0.208705364,0.239717726,0.25952124,0.3187557902,0.3415889193,0.4654706034
200,50,100m,UseParallelGC,0.00213527,0.00230925,0.0026268,0.002750315,0.0030448,0.003231083,0.003526932,0.0468250034,0.0477498574,0.04918204692
200,50,100m,UseSerialGC,0.0030305,0.0033095,0.00358181,0.003703755,0.003962046,0.0041563,0.004403691,0.0084026617,0.0116113108,0.07288104083
200,50,200m,UseConcMarkSweepGC,0.0020018,0.0021373,0.00252631,0.0026737,0.003124448,0.003456593,0.003658451,0.00754745,0.011375531,0.02825886263
200,50,200m,UseG1GC,0.0029933,0.0031317,0.00362914,0.003729885,0.003880472,0.004180706,0.0049049515,0.0106139331,0.0179179104,0.02541760338
200,50,200m,UseParallelGC,0.0024119,0.0026586,0.0031204,0.003380925,0.00359217,0.00371575,0.0039066675,0.008746133,0.0133802365,0.0488501221
200,50,200m,UseSerialGC,0.0035652,0.0037198,0.00422332,0.0043475,0.0044768,0.004598362,0.004833291,0.0097498014,0.0116990166,0.07078017632
200,50,500m,UseConcMarkSweepGC,0.0024981,0.0029537,0.0034459,0.003623735,0.004034956,0.004443135,0.00492385,0.0091429236,0.012342638,0.02717473449
200,50,500m,UseG1GC,0.0034537,0.003587,0.00407369,0.00417329,0.00435638,0.004792182,0.0055384315,0.0190256999,0.0309035251,0.03921262418
200,50,500m,UseParallelGC,0.0026863,0.0028041,0.00318125,0.0033616,0.00371366,0.00382364,0.0041461,0.011992677,0.01651390425,0.0320359792
200,50,500m,UseSerialGC,0.0042969,0.0044426,0.0046025,0.004670875,0.00479291,0.004946035,0.00535313,0.0123358295,0.014787905,0.0311682368
200,50,1g,UseConcMarkSweepGC,0.004986,0.0050948,0.0055092,0.005821275,0.00635471,0.0068175,0.0075380975,0.014488745,0.0330275505,0.04556878095
200,50,1g,UseG1GC,0.00387,0.0040241,0.0045522,0.0047022,0.0049882,0.00566202,0.01032596,0.040795796,0.045057391,0.0503409252
200,50,1g,UseParallelGC,0.0026668,0.0027949,0.00306273,0.00319602,0.003601212,0.003741514,0.004077632,0.0152314422,0.02046950115,0.04218944812
200,50,1g,UseSerialGC,0.00428632,0.0044285,0.00460694,0.00467886,0.004837728,0.005688152,0.008056164,0.0147749488,0.0257284328,0.0331794208
200,50,4g,UseConcMarkSweepGC,0.01440146,0.0149939,0.0156597,0.01593224,0.016696208,0.017392984,0.018876696,0.0245412544,0.038627395,0.0532278814
200,50,4g,UseG1GC,0.00503815,0.0052469,0.00581195,0.006077365,0.008553744,0.011589548,0.024987314,0.0440860452,0.0487559726,0.05249191452
200,50,4g,UseParallelGC,0.00267685,0.0028409,0.00318551,0.00336964,0.003575572,0.006699699,0.017303498,0.0331175966,0.0372379205,0.0679006241
200,50,4g,UseSerialGC,0.0047098,0.00486635,0.00504585,0.0051243,0.00530928,0.00580149,0.0219805425,0.036214387,0.056199294,0.1323190409
200,1024,100m,UseConcMarkSweepGC,0.0016118,0.0020023,0.0028305,0.0031232,0.003491204,0.003925502,0.0047818325,0.0084310483,0.0158937986,0.02153042141
200,1024,100m,UseG1GC,0.00115746,0.0045951,0.00963531,0.20649408,0.262016384,0.294251574,0.323526898,0.3765486451,0.4007914669,0.4459845835
